severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
error,references,empty_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,6087,slur,45.0,2.0,,sjb70qz2,Reference '#' in @endid is empty.,,#,
error,references,empty_internal_reference,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,6088,slur,45.0,2.0,,s0wk09i1,Reference '#' in @endid is empty.,,#,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,323,layer,1.0,5.0,,c1i9yeld,Layer is overfull against the active meter.,16.0,24,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,386,layer,2.0,5.0,,w4444dj,Layer is overfull against the active meter.,16.0,18,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,453,layer,3.0,4.0,,w1r1lnif,Layer is underfull against the active meter.,16.0,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,1253,layer,10.0,1.0,,q13jveih,Layer is overfull against the active meter.,16.0,17,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,1360,layer,11.0,1.0,,u16oje53,Layer is overfull against the active meter.,16.0,17,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,1600,layer,13.0,1.0,,rgaljag,Layer is overfull against the active meter.,16.0,17,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,2657,layer,20.0,4.0,,b1egh20f,Layer is underfull against the active meter.,16.0,12,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,2669,layer,20.0,5.0,,k11d6g5w,Layer is overfull against the active meter.,16.0,18,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,2812,layer,21.0,4.0,,d1br2kl7,Layer is underfull against the active meter.,16.0,12,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,3607,layer,27.0,2.0,,ypmi831,Layer is overfull against the active meter.,16.0,17,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,4011,layer,30.0,2.0,,x1wrbfng,Layer is overfull against the active meter.,16.0,18,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,4123,layer,30.0,4.0,,y2tispc,Layer is underfull against the active meter.,16.0,4,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,4180,layer,31.0,2.0,,b85u8yt,Layer is overfull against the active meter.,16.0,18,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,4907,layer,36.0,4.0,,vsnhlup,Layer is overfull against the active meter.,16.0,20,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,4993,layer,37.0,2.0,,dlwbhj2,Layer is overfull against the active meter.,16.0,18,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,5354,layer,40.0,1.0,,f101cknp,Layer is overfull against the active meter.,16.0,17,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,5870,layer,44.0,1.0,,sfdu48c,Layer is overfull against the active meter.,16.0,17,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,5986,layer,45.0,1.0,,ca5s2jj,Layer is overfull against the active meter.,16.0,19,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,6056,layer,45.0,4.0,,opkb025,Layer is overfull against the active meter.,16.0,18,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,6077,layer,45.0,5.0,,dkteobb,Layer is underfull against the active meter.,16.0,14,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,6282,layer,46.0,4.0,,g19iomv0,Layer is underfull against the active meter.,16.0,12,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,6708,layer,48.0,5.0,,i1vxr7f1,Layer is underfull against the active meter.,16.0,10,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,7014,layer,50.0,4.0,,ih1jmbz,Layer is underfull against the active meter.,16.0,12,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,7466,layer,52.0,5.0,,g1g49nq2,Layer is underfull against the active meter.,16.0,10,
warning,layering,duplicate_layer_n,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,8637,staff,58.0,,,axq2b3v,Staff has duplicate layer numbers in the same measure.,,2,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,8668,layer,58.0,4.0,,vzb8f5p,Layer is underfull against the active meter.,16.0,14,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,9690,layer,63.0,3.0,,fav2ylf,Layer is underfull against the active meter.,16.0,13,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,9721,layer,63.0,4.0,,x1xjus5m,Layer is underfull against the active meter.,16.0,8,No <space> found in this layer; a missing space/rest is a likely cause.
warning,pitch,invalid_octave,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,10250,note,67.0,2.0,1.0,b11oo90t,Note @oct is not an integer.,,4n,
warning,pitch,invalid_octave,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,10251,note,67.0,2.0,1.0,n36m0ua,Note @oct is not an integer.,,4n,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,10778,layer,73.0,4.0,,klyhnh5,Layer is underfull against the active meter.,16.0,12,
warning,layering,duplicate_layer_n,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,10952,staff,76.0,,,i1fxycyg,Staff has duplicate layer numbers in the same measure.,,1,
warning,layering,duplicate_layer_n,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,12688,staff,91.0,,,uey4ou,Staff has duplicate layer numbers in the same measure.,,1,
warning,layering,duplicate_layer_n,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,13730,staff,98.0,,,w1vi8iyc,Staff has duplicate layer numbers in the same measure.,,5,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,14696,layer,105.0,3.0,,k5xd2dl,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,14703,layer,105.0,4.0,,v1ft83kc,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,14718,layer,105.0,4.0,,jobj45p,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,14724,layer,105.0,5.0,,mu9nvo0,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,14813,layer,107.0,1.0,,n3axta,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,14820,layer,107.0,2.0,,n1uzacy8,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,14827,layer,107.0,3.0,,t1w59dmb,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,14865,layer,107.0,4.0,,gtyzwns,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,14879,layer,107.0,5.0,,u1npdm1a,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,14885,layer,107.0,5.0,,ajhgzy0,Layer is overfull against the active meter.,12.0,16,
warning,layering,duplicate_layer_n,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,14969,staff,108.0,,,s1pmxpuj,Staff has duplicate layer numbers in the same measure.,,5,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,14984,layer,109.0,1.0,,u1dc1jbr,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,14993,layer,109.0,2.0,,umgtwct,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15017,layer,110.0,1.0,,k1899r9v,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15027,layer,110.0,2.0,,jvynvo3,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15033,layer,110.0,3.0,,llmuli4,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15055,layer,110.0,4.0,,n1n1dxr4,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15063,layer,110.0,4.0,,u1bzfayo,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15072,layer,110.0,5.0,,zj9yykt,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15164,layer,112.0,1.0,,o1ajaa6b,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15169,layer,112.0,2.0,,pynjimw,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15174,layer,112.0,3.0,,n1cfqyi6,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15179,layer,112.0,4.0,,uws4r5r,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15187,layer,112.0,5.0,,a1prz2r2,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15285,layer,114.0,1.0,,u1wcig0f,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15303,layer,114.0,2.0,,y1528vez,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15322,layer,114.0,3.0,,r1gavj7z,Layer is overfull against the active meter.,12.0,16,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op1_02_sonata_g_major_corr.mei,15345,layer,114.0,4.0,,ww29uvg,Layer is overfull against the active meter.,12.0,16,
